prussian_military_reforms;Prussian Military Reforms;Réformes militaires prussiennes;Preußische Militärreformen;;Reformas militares prusianas;;;;;;;;;x;
desc_prussian_military_reforms;The Prussian Military reforms produced some of the most disciplined troops ever to be seen on a battlefield. It also produced a regiment officially called the Grand Grenadiers of Potsdam who were on average 7 ft tall, tragically basketball had yet to be invented meaning their utility was limited. ;Les réformes militaires prussiennes produisent des troupes comptant parmi les plus disciplinées jamais vues sur un champ de bataille. Elles ont aussi donné naissance à un régiment appelé les Grands grenadiers de Potsdam qui mesuraient, en moyenne, 1,90 mètre de haut. ;Die preußischen Militärreformen brachten einige der diszipliniertesten Truppen hervor, die jemals auf dem Schlachtfeld gesehen wurden. Sie brachten auch ein Regiment hervor, das offiziell die Großgrenadiere von Potsdam genannt wurde, die alle im Durchschnitt 2 Meter groß waren. Tragischerweise war Basketball noch nicht erfunden, was ihre Nützlichkeit einschränkte.;;Las reformas militares prusianas dieron lugar a algunas de las tropas más disciplinadas que se hayan visto nunca sobre el campo de batalla. También produjo un regimiento denominado oficialmente los Grand Grenadiers de Potsdam, que tenían una estatura media de dos metros. Por desgracia, el baloncesto todavía no se había inventado, por lo que su utilidad quedó limitada. ;;;;;;;;;x;
enact_prussian_military_reforms_title;Enact Prussian Military Reforms;Promulguer les réformes militaires prussiennes;Führt preußische Militärreformen ein;;Promulgar reformas militares prusianas;;;;;;;;;x;
enact_prussian_military_reforms_desc;In order for Prussia to be strong we must ensure that our army is second to none. The introduction of a new, and some say draconian, discipline code will ensure that our troops will be fighting when other armies are looting. ;Pour que la Prusse soit forte, il nous faut veiller à ce que notre armée soit excellente. L'introduction d'un code de discipline nouveau, et selon certains draconien, veillera à ce que nos troupes se battent lorsque les autres armées pillent. ;Um Preußen stark zu machen müssen wir sicherstellen, das unsere Armee die stärkste überhaupt ist. Die Einführung eines neuen, von manchen als drakonisch bezeichnetet, Disziplinarcodex wird sicherstellen, das unsere Truppen kämpfen während andere Armeen plündern. ;;Para que Prusia sea más fuerte, tenemos que asegurarnos de que nuestro ejército no tenga rival. La introducción de un nuevo y, digamos, draconiano código de disciplina, asegurará que el ejército esté luchando cuando otros estarían saqueando. ;;;;;;;;;x;
form_kingdom_of_prussia_title;Form Kingdom of Prussia;Former le royaume de Prusse;Gründet das Königreich Preußen;;Formar el Reino de Prusia;;;;;;;;;x;
form_kingdom_of_prussia_desc;There is only one king in the Empire, the king of Bohemia. At the same time our lands in Prussia are not a historic part of the Empire, let us declare ourselves King in Prussia to reflect our grander status than the other electors.  ;L'empire ne compte qu'un seul roi : le roi de Bohême. En même temps, nos terres prussiennes ne font pas historiquement partie de l'empire et proclamons-nous roi de Prusse pour le plus grand statut dont nous jouissons par rapport aux autres électeurs. ;Es gibt nur einen König im Reich, den König von Böhmen. Zur gleichen Zeit sind unsere Ländereien in Preußen kein historischer Teil des Reichs. Lasst uns den Königstitel von Preußen für uns beanspruchen, um unseren Status über den der anderen Kurfürsten zu erheben.  ;;Solo hay un rey en el Imperio: el rey de Bohemia. A su vez, nuestros territorios en Prusia no son parte histórica del Imperio. Declarémonos Rey de Prusia para reflejar nuestro estatus, más grandioso que el de los demás electores. ;;;;;;;;;x;
bg_decision_taken;$MONARCHNAME$ $ADJECTIVE2$ $WHICH$.;$MONARCHNAME$ $ADJECTIVE2$ $WHICH$.;$MONARCHNAME$ $ADJECTIVE2$ $WHICH$;;$MONARCHNAME$ $ADJECTIVE2$ $WHICH$.;;;;;;;;;x;
bg_dec_tak_1_1;wisely did;a sagement fait;hat weise;;sabiamente ha conseguido;;;;;;;;;x;
bg_dec_tak_1_2;decided to;a décidé de;beschloss zu;;ha decidido;;;;;;;;;x;
bg_dec_tak_1_3;followed the advice of the court and;a suivi le conseil de la cour et;folgte dem Rat des Hofes und;;ha seguido el consejo de la corte de;;;;;;;;;x;
bg_dec_tak_1_4;wisely made the decision to;a pris la sage décision de;hat weise die Entscheidung getroffen;;sabiamente ha tomado la decisión de;;;;;;;;;x;
bg_dec_tak_1_5;against better judgement decided to ;tout en sachant qu'il se trompe, a décidé de ;hat entgegen aller Ratschläge beschlossen;;contra todo pronóstico ha decidido ;;;;;;;;;x;
FE_LUCK;Lucky Nations;Nations chanceuses;Nationen im Glück;;Naciones con suerte;;;;;;;;;x;
LUCK_HISTORICAL;Historical;Historique;Historisch;;Históricas;;;;;;;;;x;
LUCK_RANDOM;Random;Aléatoire;Zufällig;;Al azar;;;;;;;;;x;
LUCK_NONE;None;Aucun;Keine;;Ninguna;;;;;;;;;x;
indelningsverket;Indelningsverket;Indelningsverket;Indelningsverket;;Indelningsverket;;;;;;;;;x;
desc_indelningsverket;The Swedish allotment system was the division of the peasantry into groups of 10 for recruitment purposes. This system made it easier to find people to serve in the army and organise them into units. ;Le système de répartition suédois correspondait à la division de la paysannerie en groupe de 10 à des fins de recrutement. Ce système recruter plus facilement des effectifs pour l'armée et de les organiser en unités. ;Das schwedische Unterteilungssystem war die Aufteilung der Bauern in Gruppen von 10 für Rekrutierungsbedürfnisse. Dieses System machte es leichter, Leute für die Armee zu finden und sie zu Einheiten zu formen.;;El sistema de asignación sueco consistía en la división del campesinado en grupos de 10 a efectos de reclutamiento. Este sistema hizo más fácil encontrar a gente para servir en el ejército y organizarla en unidades. ;;;;;;;;;x;
create_indelningsverket_title;Create 'Indelningsverket';"Créer ""Indelningsverket""";Erschafft 'Indelningsverket';;Crear Indelningsverket;;;;;;;;;x;
create_indelningsverket_desc;In order to better raise men for war the system of recruitment is to be reorganised into a system where each ward is responsible for supplying one man for the army during war time. This means we know exactly where to get men for the army, making recruitment easier. ;Pour mieux mobiliser des hommes pour la guerre, le système de recrutement doit être réorganisé au sein duquel chaque circonscription doit fournir à l'armée un homme en temps de guerre. Ainsi, nous savons exactement où trouver des hommes pour l'armée, ce qui facilite le recrutement. ;Um effektiver Männer für den Krieg ausheben zu können wird das Rekrutierungssystem in ein System umgewandelt, in dem jeder Kreis dafür verantwortlich ist, einen Mann während des Krieges für die Armee zu stellen.;;Con el objeto de una mejor captación de hombres para la guerra, se reorganiza el sistema de reclutamiento de forma que cada distrito es responsable de suministrar a un hombre para el ejército en tiempo de guerra. De este modo, sabemos exactamente de dónde conseguir hombres para el ejército, lo que facilita el reclutamiento. ;;;;;;;;;x;
the_absolutism;The Absolutism;L'absolutisme;Der Absolutismus;;El absolutismo;;;;;;;;;x;
desc_the_absolutism;Absolutism is the theory that one man should be in charge, that man is the King and the nobles are beginning to understand this better. ;L'absolutisme correspond à la théorie selon laquelle un homme doit concentrer les pouvoirs et que cet homme est le roi, ce que les nobles commencent à mieux comprendre. ;Absolutismus ist die Theorie das ein Mann die Kontrolle haben sollte, dieser Mann ist der König und die Adligen beginnen, das besser zu verstehen.;;El absolutismo es la teoría por la cual un solo hombre debería estar al mando. Ese hombre es el rey y los nobles están empezando a entenderlo mejor. ;;;;;;;;;x;
institute_the_absolutism_title;Institute the Absolutism;Instituer l'absolutisme;Führt den Absolutismus ein;;Instaurar el absolutismo;;;;;;;;;x;
institute_the_absolutism_desc;We must give our government a philosophical underpinning. If we promote the doctrine of absolutism the nobles will be more supportive. ;Nous devons doter notre gouvernement d'une dimension philosophique. En promouvant la doctrine de l'absolutisme, les nobles seront plus enclins à apporter leur soutien. ;Wir müssen unserer Regierung eine philosophische Grundfeste geben. Wenn wir die Doktrin des Absolutismus fördern, werden die Adligen mehr Unterstützung zeigen.;;Tenemos que dotar a nuestro gobierno de un fundamento filosófico. Si fomentamos la doctrina del absolutismo, los nobles se mostrarán más comprensivos. ;;;;;;;;;x;
use_finnish_cavalry_title;Use Finnish Cavalry;Recourir à la cavalerie finnoise;Nutzt die finnische Kavallerie;;Utilizar la caballería finlandesa;;;;;;;;;x;
use_finnish_cavalry_desc;Finland is a rather poor and backward place, service in the Swedish army gives people excellent opportunities to financial advancement via looting. This allows us to raise excellent and feared cavalry who our enemies maintain are invulnerable due to witchcraft, although we aren’t 100% certain this is true. ;La Finlande est un endroit plutôt pauvre et reculé et en rejoignant l'armée suédoise, son peuple peut s'élever financièrement grâce au pillage. Nous pouvons ainsi disposer d'une puissante cavalerie qui, de l'avis de nos ennemis, est invulnérable en raison de la sorcellerie qui l'entoure, ce dont nous ne sommes pas vraiment certains. ;Finnland ist ein recht armes und rückständiges Land. Der Dienst in der schwedischen Armee bietet den Leuten gute Möglichkeiten, durch plündern zu finanziellen Mitteln zu kommen. Das erlaubt es uns, exzellente und gefürchtete Kavallerie auszuheben von denen unsere Feinde glauben, sie seien durch Hexerei unverwundbar. Wir selbst sind uns nicht 100% sicher, ob das wahr ist.;;Finlandia es un lugar bastante pobre y retrógrado. El servicio en el ejército sueco proporciona a la gente excelentes oportunidades de mejoras financieras gracias al saqueo. Esto nos permite reunir una excelente y temible caballería de la que nuestros enemigos afirman que es invulnerable debido a la brujería, aunque de eso no estamos seguros al cien por cien. ;;;;;;;;;x;
finnish_cavalry;Hakkapeliitta;Hakkapeliitta;Hakkapeliitta;;Hakkapeliitta;;;;;;;;;x;
desc_finnish_cavalry;A horribile Haccapaelitorum agmine libera nos, Domine';A horribile Haccapaelitorum agmine libera nos, Domine;Eine schreckliche Haccapaelitorum agmine libera nos, Domine';;A horribile Haccapaelitorum agmine libera nos, Domine.;;;;;;;;;x;
use_swedish_steel_title;Use Swedish Steel;Recourir à l'acier suédois;Nutzt den schwedischen Stahl;;Utilizar el acero sueco;;;;;;;;;x;
use_swedish_steel_desc;While other armies fire inaccurate volleys at their enemies we will march at them in disciplined ranks, deliver a single volley at close range and then give them cold steel. ;Alors que d'autres armées tirent des salves imprécises contre leurs ennemis, nous progresserons en rangs disciplinés et tirerons une seule salve à courte portée qu'ils ne sont pas près d'oublier. ;Während andere Armeen ungezielte Salven abfeuern marschieren wir in disziplinierten Reihen auf sie zu, geben eine einzige Salve auf kurze Entfernung ab, und geben ihnen kalten Stahl.;;Mientras que los demás ejércitos disparan imprecisas salvas a sus enemigos, nosotros marcharemos sobre ellos en disciplinadas formaciones, descargando una única salva a corta distancia y luego haciéndoles probar el frío acero. ;;;;;;;;;x;
swedish_steel;Swedish Steel;Acier suédois;Schwedischer Stahl;;Acero sueco;;;;;;;;;x;
desc_swedish_steel;Bet Kind, bet Kind, morgen kommt der Schwede';Bet Kind, bet Kind, morgen kommt der Schwede;Bet' Kindchen, bet', morgen kommt der Schwed';;Bet Kind, bet Kind, morgen kommt der Schwede.;;;;;;;;;x;
EVTNAME610;Integrating $THISCOUNTRY$;Intégration de $THISCOUNTRY$;Integrierung von $THISCOUNTRY$;;Integrar a $THISCOUNTRY$;;;;;;;;;x;
EVTDESC610;When a smaller country gives up its independence to join a greater realm, there is a lot of adapting, and while some parts are easy, the administration of the realm will still need to expand to accommodate all possibilities.;Lorsqu'un plus petit pays renonce à son indépendance pour rejoindre un plus grand royaume, il doit s'adapter et, même si certains points sont aisés, l'administration du royaume devra être réorganisée pour permettre toutes les possibilités.;Wenn ein kleineres Land seine Unabhängigkeit aufgibt, um einem größeren Reich beizutreten, kommt es zu vielen Anpassungen. Und während einige davon einfach sind, wird die Administration des Reiches dennoch wachsen müssen, um alle Möglichkeiten abzudecken.;;Cuando un país pequeño cede su independencia para unirse a un reino mayor, hay que adaptar muchas cosas y, mientras que algunas son fáciles, la administración del reino aún necesitará ampliarse para cubrir todas las posibilidades.;;;;;;;;;x;
EVTOPTB610A;It is hard to rule from $CAPITAL_CITY$;Il est difficile de régner depuis $CAPITAL_CITY$;Es ist schwer, von $CAPITAL_CITY$ zu regieren;;Es complicado gobernar desde $CAPITAL_CITY$;;;;;;;;;x;
MAY_REPAIR_AT_SEA;Ships can repair when in coastal seazones.;Les navires peuvent être réparés à proximité des zones côtières.;Schiffe können in Küsten-Seezonen repariert werden;;Los barcos pueden reparar cuando estén en zonas marítimas costeras.;;;;;;;;;x;
DIPLO_SKILL_IMPACT;When negotiating diplomatically with other countries, this is also modified by §Y$VALUE$§W, due to...;Lors des négociations diplomatiques avec d'autres pays, cela est aussi modifié par §Y$VALUE$§W, en raison de...;Wenn wir diplomatisch mit anderen Nationen verhandeln wird dis auch mit §Y$VALUE$§YW modifiziert, wegen…;;Al negociar diplomáticamente con otros países, esto también se modifica en §Y$VALUE$§W, debido a...;;;;;;;;;x;
REVOLTSIEGE_SETUP;When revolters enforce their goals in one of your provinces;Lorsque les insurgés sont parvenus à leurs fins dans l'une de nos provinces;Wenn Revolter Änderungen in einer unserer Provinzen vornehmen.;;Cuando los revolucionarios impongan sus objetivos en una de nuestras provincias.;;;;;;;;;x;
REVOLTSIEGE_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;;$MESSENGER$;;;;;;;;;x;
REVOLTSIEGE_1;Rebels Successful!;Les rebelles ont réussi !;Rebellen erfolgreich!;;¡La rebelión ha triunfado!;;;;;;;;;x;
REVOLTSIEGE_2;$MONARCHTITLE$, §Y$REBELS$§W have taken control of;$MONARCHTITLE$, §Y$REBELS$§W ont pris le contrôle de;$MONARCHTITLE$, §Y$REBELS$§W kontrollieren nun;;¡$MONARCHTITLE$, los §Y$REBELS$§W han tomado el control de;;;;;;;;;x;
REVOLTSIEGE_3;$PROV$!;$PROV$ !;$PROV$!;;$PROV$!;;;;;;;;;x;
REVOLTSIEGE_4;$EFFECT$;$EFFECT$;$EFFECT$;;$EFFECT$;;;;;;;;;x;
REVOLTSIEGE_5;*;*;*;;*;;;;;;;;;x;
REVOLTSIEGE_6;*;*;*;;*;;;;;;;;;x;
REVOLTSIEGE_LOG;$REBELS$ have enforced their goals on $PROV$.;$REBELS$ sont parvenus à leurs fins en $PROV$.;$REBELS$ haben ihre Ziele in $PROV$ erreicht.;;Los $REBELS$ han impuesto sus objetivos en $PROV$.;;;;;;;;;x;
REVOLTSIEGE_BTN1;OK;OK;OK;;Aceptar;;;;;;;;;x;
REVOLTSIEGE_BTN2;OK;OK;OK;;Aceptar;;;;;;;;;x;
REVOLTSIEGE_BTN3;Goto;Voir;GOTO;;Ir allí;;;;;;;;;x;
REVOLTSIEGE_MAP;$REBELS$ Succeed;$REBELS$ ont réussi;$REBELS$ sind erfolgreich;;Éxito de los $REBELS$;;;;;;;;;x;
PREVIOUS_MISSION_WASNT;The last mission was not ;La dernière mission n'était pas ;Die letzte Mission war nicht;;La última misión no fue ;;;;;;;;;x;
PREVIOUS_MISSION_WAS;The last mission was ;La dernière mission était ;Die letzte Mission war  ;;La última misión fue ;;;;;;;;;x;
WARTAX_CANT_STOP_TIP;We are committed to collecting War Taxes until ;Nous sommes chargés de collecter des impôts de guerre jusque ;Wir haben uns auf die Eintreibung von Kriegssteuern festegelegt bis;;Estamos comprometidos a recaudar impuestos de guerra hasta ;;;;;;;;;x;
EVTNAME9550;Trade Focus;Intérêt pour le commerce;Handelsfokus;;Concentración en el comercio;;;;;;;;;x;
EVTDESC9550;Some members of our parliament feel that we're not putting enough focus on national trade. It's pretty clear to everyone that we're not exactly dominating trade in this area but we could certainly do worse, at least that's what the other members are claiming. If our previous track record is anything to go by our parliament are not very likely to come to any sort of agreement anytime soon unless someone is able to talk some sense into them.;Certains membres du parlement estiment que nous ne soutenons pas suffisamment notre commerce national. Il est clair que nous n'excellons pas dans ce domaine, mais que cela pourrait être pire, du moins selon d'autres membres. S'il faut juger de nos précédentes actions, notre parlement risque de ne pas trouver de consensus avant que quelqu'un réussisse à lui faire entendre raison.;Einige Mitglieder unseres Parlaments denken, das wir nicht genug Augenmerk auf den nationalen Handel richten. Es ist für jeden ziemlich klar, das wir den Handel in diesem Gebiet nicht unbedingt dominieren, aber wir könnten auch schlechter dastehen, zumindest ist es das, was die anderen dagegenhalten. Wenn unsere vergangenen Leistungen für die Zukunft gelten ist es nicht sehr wahrscheinlich, das sie in nächster Zukunft zu irgendeiner Art Entscheidung finden können, außer es findet sich jemand, der ihnen ins Gewissen reden kann.;;Algunos miembros del parlamento consideran que no estamos poniendo el suficiente empeño en el comercio nacional. Cualquiera puede apreciar que no dominamos el comercio en esta zona, precisamente, pero podría ser peor, desde luego. Al menos eso es lo que afirman los demás miembros. Si el parlamento se queja de nuestros precedentes, no es muy probable que se llegue a un acuerdo en breve a menos que alguien sea capaz de hacerles entrar en razón.;;;;;;;;;x;
EVTOPTA9550;We need more merchants;Il nous faut plus de marchands.;Wir brauchen mehr Händler;;Necesitamos más comerciantes;;;;;;;;;x;
EVTOPTB9550;It's efficiency we lack;Nous manquons d'efficacité.;Es ist Effizienz die wir vermissen;;Es eficiencia lo que necesitamos;;;;;;;;;x;
EVTNAME9551;Trade Expansion;Expansion commerciale;Handelsexpansion;;Expansión comercial;;;;;;;;;x;
EVTDESC9551;Discussions regarding ways to expand our trade have been ongoing in the Parliament for some time now. We already have exclusive control over a local centre of trade but there are many who are enticed by the possibilities of overseas trading. Others are convinced that the risks are too great and that more money could be made at home.;Voilà un certain temps que le parlement discute de moyens de développer notre commerce. Nous exerçons déjà un contrôle exclusif sur un centre de commerce local, mais nombreux sont ceux à être attirés par les possibilités commerciales d'outre-mer. D'autres sont convaincus que les risques sont trop grands et que le pays aurait bien besoin de plus d'argent.;Diskussionen darüber, wie man den Handel ausbauen könnte sind seit einiger Zeit im Parlament an der Tagesordnung. Wir haben schon exklusive Kontrolle über ein lokales Handelszentrum, aber es gibt viele, die von den Möglichkeiten des Überseehandels gelockt werden. Andere sind überzeugt, das die Risiken zu groß sind, und das zuhause mehr Geld zu machen ist.;;Desde ya hace un tiempo, se suceden en el parlamento las discusiones sobre las formas de expandir el comercio. Ya tenemos el control exclusivo sobre un centro de comercio local, pero a muchos los seducen las posibilidades del comercio de ultramar. Otros están convencidos de que los riesgos son muy grandes y de que se puede hacer más dinero en casa.;;;;;;;;;x;
EVTOPTA9551;Local trade is where our focus should be;Nous devons nous concentrer sur le commerce local.;Lokaler Handel ist es, worauf wir uns konzentrieren sollen;;Deberíamos centrarnos en el comercio local;;;;;;;;;x;
EVTOPTB9551;Perhaps it's time to broaden our horizons;L'heure est peut-être venue d’élargir nos horizons.;Vielleicht ist es an der Zeit, unseren Horizont zu erweitern;;Tal vez sea el momento de ampliar nuestros horizontes;;;;;;;;;x;
EVTNAME9552;Budgetary Disagreements;Désaccords budgétaires;Budgetäre Unstimmigkeiten;;Desacuerdos presupuestarios;;;;;;;;;x;
EVTDESC9552;Our parliament seems to have some real difficulties coming to terms with how to govern our nation, whether it's agreeing on a budget, taxes, port duties or trade and customs policies. This time it's the budget, should more money be invested into research or be set aside for unforeseen expenses in the future?;Notre parlement semble avoir du mal à s'accorder sur la manière de gouverner la nation en matière de budget, d'impôts, de droits de douane, de commerce et de politiques douanières. Cette fois, c’est du budget dont il est question. Faut-il consacrer plus d'argent à la recherche ou en mettre de côté pour les dépenses imprévues ?;Unser Parlament scheint echte Probleme damit zu haben sich klar zu werden, wie die Nation regiert werden soll, egal ob es darum geht, Entscheidungen über Budget, Steuern, Hafengebühren oder Tariffsbestimmungen geht. Dieses Mal geht es ums Budget, ob mehr Geld in die Forschung investiert werden sollte, oder für zukünftige unvorhersehbare Ausgaben zurückgehalten werden sollte.;;El parlamento parece tener ciertas dificultades para ponerse de acuerdo en cómo gobernar nuestra nación, ya sea a la hora de aprobar un presupuesto, por los impuestos, las tasas portuarias o de comercio y las políticas mercantiles. Esta vez se trata de un presupuesto: ¿se debe invertir más dinero en investigación o mejor reservarlo para futuros gastos imprevistos?;;;;;;;;;x;
EVTOPTA9552;Invest it all in research;Investissez tout dans la recherche.;Investiert allen in die Forschung;;Invertidlo todo en investigación;;;;;;;;;x;
EVTOPTB9552;Save some for future expenses;Épargnez pour les dépenses à venir.;Behaltet etwas für zukünftige Ausgaben zurück;;Guardad algo para futuros gastos;;;;;;;;;x;
EVTNAME9553;Disagreements in the Parliament;Désaccords au parlement;Unstimmigkeiten im Parlament;;Desacuerdos en el parlamento;;;;;;;;;x;
EVTDESC9553;Our Parliament is divided regarding the proposal to establish a new centre of trade. Most of them can't see any logical reason to why such a prominent trading nation as our own shouldn't have its own trade centre but as we all know these things don't come cheap and therefore requires careful consideration.;Notre parlement est divisé sur la proposition d'établir un nouveau centre de commerce. La plupart de ses membres ne trouvent pas logique qu'une nation commerciale telle que la nôtre ne dispose pas de son propre centre de commerce, mais nous savons tous qu'une telle entreprise nécessite des fonds et qu'il faut bien y réfléchir.;Unser Parlament ist im Bezug auf den Vorschlag, ein neues Handelszentrum zu errichten, gespalten. Die meisten von ihnen scheinen keinen logischen Grund zu sehen, warum so eine prominente Handelsnation wie die unsere nicht sein eigenes Handelszentrum haben sollte. Aber wir wissen alle, das diese Dinge nicht billig sind, und daher sorgfältige Überlegung erfolgen.;;El parlamento se encuentra dividido por la propuesta de establecer un nuevo centro de comercio. Muchos de ellos no encuentran razón lógica por la que una nación comercial prominente como la nuestra no pueda tener su propio centro de comercio, pero, como todos sabemos, estas cosas son caras y por eso requieren una cuidadosa valoración.;;;;;;;;;x;
EVTOPTA9553;Try to mediate between the two parties;Essayez d'agir en médiateur entre les deux partis.;Versucht, zwischen den beiden Parteien zu vermitteln;;Intentemos mediar entre los dos grupos;;;;;;;;;x;
EVTOPTB9553;Propose some other changes;Proposez d'autres changements.;Schlagt einige andere Änderungen vor;;Proponed algunos cambios más;;;;;;;;;x;
EVTNAME9554;Misdirected Focus;Intérêt mal orienté;Fehlgeleitete Ausrichtung;;Enfoque erróneo;;;;;;;;;x;
EVTDESC9554;A few members of our parliament are convinced that we're putting too much focus on military operations instead of concentrating on expanding our trade. They are complaining that too many investments are being directed into financing our military but almost nothing to improve our trade conditions.;Plusieurs membres du parlement estiment que nous portons trop d'intérêt aux opérations militaires au lieu de nous concentrer sur notre développement commercial. Ils jugent que les investissements consacrés à l'armée sont trop importants et que peu est fait pour améliorer nos conditions commerciales.;Einige Mitglieder unseres Parlaments sind überzeugt, das wir zuviel Aufmerksamkeit auf unsere militärischen Operationen aufwenden, anstatt uns darauf zu konzentrieren, unsere Handel auszuweiten. Sie beschweren sich, dass zu viele Investitionen zur Finanzierung unseres Militärs dienen, aber fast keine für unsere Handelsbedingungen.;;Unos cuantos miembros del parlamento están convencidos de que nos estamos centrando demasiado en las operaciones militares en lugar de concentrarnos en expandir el comercio. Se quejan de que se destinan demasiadas inversiones a financiar el ejército, pero casi ninguna a mejorar nuestras condiciones comerciales. ;;;;;;;;;x;
EVTOPTA9554;It's all according to plan;C’était prévu !;Es ist allem wie nach Plan;;Todo está según lo planificado;;;;;;;;;x;
EVTOPTB9554;Perhaps our focus has been a bit misdirected;Notre intérêt est peut-être mal dirigé, effectivement;Vielleicht ist unser Augenmerk etwas fehlgeleitet worden;;Quizá nos hemos equivocado un poco en nuestro enfoque;;;;;;;;;x;
more_merchants;Recruitment of Merchants;Recrutement de marchands;Rekrutierung von Händlern;;Contratación de comerciantes;;;;;;;;;x;
desc_more_merchants;All our efforts are currently focused on the recruitment of more merchants;Tous nos efforts se concentrent actuellement sur le recrutement de nouveaux marchands;All unsere Anstrengungen sind derzeit auf die Rekrutierung von mehr Händlern ausgerichtet.;;Actualmente, todos nuestros esfuerzos se centran en la contratación de más comerciantes.;;;;;;;;;x;
efficienct_merchants;Increased Merchant Efficiency;Efficacité accrue des marchands;Erhöhte Händlereffizienz;;Eficacia comercial incrementada;;;;;;;;;x;
desc_efficienct_merchants;All our efforts are currently focused on increasing our merchant's efficiency;Tous nos efforts se concentrent actuellement sur l'efficacité accrue de nos marchands;All unsere Aufmerksamkeit ist derzeit darauf ausgerichtet, die Effizienz unserer Händler zu erhöhen;;Todos nuestros esfuerzos se centran en incrementar la eficacia de nuestros comerciantes.;;;;;;;;;x;
local_trade_focus;Local Trade Focus;Intérêt pour le commerce local;Lokale Handelsausrichtung;;Concentrarse en el comercio local;;;;;;;;;x;
desc_local_trade_focus;We have decided to put all focus on the development of our local trade;Nous avons décidé de nous concentrer sur le développement de notre commerce local;Wir haben uns entschieden, unsere Aufmerksamkeit auf den lokalen Handel zu legen;;Hemos decidido poner toda nuestra atención en el desarrollo del comercio local.;;;;;;;;;x;
global_trade_focus;Overseas Trade Focus;Intérêt pour le commerce d'outre-mer;Übersee-Handelsausrichtung;;Concentrarse en el comercio de ultramar;;;;;;;;;x;
desc_global_trade_focus;We have decided to put all focus on developing trade overseas;Nous avons décidé de nous concentrer sur le développement du commerce d'outre-mer;Wir haben entschieden, all unsere Aufmerksamkeit auf den Überseehandel zu legen;;Hemos decidido poner toda nuestra atención en el desarrollo del comercio de ultramar.;;;;;;;;;x;
military_focus;Military Focus;Intérêt pour l'armée;Militärische Ausrichtung;;Enfoque militar;;;;;;;;;x;
desc_military_focus;Most research is currently directed towards improving our military, unfortunately trade research is suffering as a consequence.;La plupart de nos recherches portent actuellement sur l'amélioration de notre armée, ce qui, malheureusement, se fait aux dépens du commerce.;Der Großteil der Forschung wird derzeit auf die Verbesserung unseres Militärs ausgerichtet, unglücklicherweise leidet unsere Handelseffizienz darunter.;;Mucha de nuestra investigación está actualmente dirigida a mejorar el ejército. Por desgracia, la investigación comercial está pagando las consecuencias.;;;;;;;;;x;
trade_focus;Trade Focus;Intérêt pour le commerce;Handelsausrichtung;;Concentración en el comercio;;;;;;;;;x;
desc_trade_focus;Most research is currently directed towards improving our trade, unfortunately military research is suffering as a consequence.;La plupart de nos recherches portent actuellement sur l'amélioration de notre commerce, ce qui, malheureusement, se fait aux dépens de l'armée.;Die meiste Forschung wird derzeit für den Handel ausgeführt, unglücklicherweise leidet unsere Militärforschung darunter.;;Mucha de nuestra investigación está actualmente dirigida a mejorar el comercio. Por desgracia, la investigación militar está pagando las consecuencias.;;;;;;;;;x;
establish_bank_of_amsterdam_title;Establish Bank of Amsterdam;Établir la Banque d'Amsterdam;Etabliert die Bank von Amsterdam;;Fundar el Banco de Ámsterdam;;;;;;;;;x;
establish_bank_of_amsterdam_desc;The lifeblood of trade is the value of money, and coinage isn’t always worth what it claims to be. The Bank of Amsterdam is offering to issue bank bills at guaranteed value, this might help?;Le nerf du commerce, c'est l'argent et le monnayage ne vaut pas toujours la chandelle. La Banque d'Amsterdam propose d'émettre des billets garantis. Cela peut-il aider ?;Das Lebensblut des Handels ist  der Wert des Geldes, und Münzen sind nicht immer das wert, was sie vorgeben. Die Bank von Amsterdam bietet Banknoten zu einem garantierten Wert an, das könnte vielleicht helfen?;;La savia del comercio es el valor del dinero, y el sistema monetario no es siempre todo lo valioso que afirma ser. El Banco de Ámsterdam está ofreciendo la emisión de billetes de banco con valor garantizado, ¿podría servir de ayuda?;;;;;;;;;x;
bank_of_amsterdam;Bank of Amsterdam;Banque d'Amsterdam;Bank von Amsterdam;;Banco de Ámsterdam;;;;;;;;;x;
