byzantine_influx;Byzantine Influx;Afflux de Byzantins;Einwanderer aus Byzanz;;Influjo bizantino;;;;;;;;;x
desc_byzantine_influx;A proclamation has gone out from $COUNTRY$, across all of Europe, that the lost children of Constantine's city are invited to seek shelter and new lives in our cities. They bring with them an understanding of classic civilization that helps our research.;$COUNTRY$ proclame dans toute l’Europe que les enfants perdus de la ville de Constantine sont invités à trouver refuge et à entamer une nouvelle vie dans nos villes. Ils apportent avec eux une compréhension de la civilisation classique qui aidera nos recherches.;Eine Anordnung wurde von $COUNTRY$ aus überall in Europa verkündet, dass die verlorenen Kinder des Stadt Konstantins in unsere Städten willkommen sind. Sie werden ein Verständnis von klassischer Zivilisation mitbringen, das unsere Forschung unterstützen wird.;;Una proclama procedente de $COUNTRY$ ha cruzado toda Europa, invitando a los hijos perdidos de la ciudad de Constantina a buscar refugio y una nueva vida en nuestras ciudades. Traen con ellos un conocimiento de la civilización clásica que ayuda a nuestra investigación.;;;;;;;;;x
commission_epic_to_monarch_title;National Epic;Épopée nationale;Nationales Epos;;Epopeya nacional;;;;;;;;;x
commission_epic_to_monarch_desc;Our subjects have taken to telling tales and legends about $RANDOM_OLD_MONARCH$. The legend says that in $COUNTRY$'s darkest hour, he will return to our nation, and deliver it from evil. Regardless of the truth in that statement, we could use this in our propaganda.;Nos sujets racontent des histoires et des légendes sur $RANDOM_OLD_MONARCH$. La légende dit qu’aux heures les plus sombres de l’histoire de $COUNTRY$, il reviendra pour libérer notre nation du mal. Quelle que soit la véracité de cette affirmation, nous pourrions l’utiliser pour notre propagande.;Unsere Untertanen haben begonnen, Geschichten und Legenden über $RANDOM_OLD_MONARCH$ zu erzählen. Die Legende besagt, dass er in der dunkelsten Stunde von $COUNTRY$ zurückkehren wird, um es zu erretten. Ob wahr oder nicht, wir können das für unsere Propaganda nutzen.;;Nuestros súbditos han empezado a contar historias y leyendas sobre $RANDOM_OLD_MONARCH$. Cuenta la leyenda que en la hora más funesta de $COUNTRY$, él volverá a nuestra nación, y la librará del mal. Sea o no cierto eso, podríamos usarlo en nuestra propaganda.;;;;;;;;;x
epic_to_monarch;National Epic;Épopée nationale;Nationales Epos;;Epopeya nacional;;;;;;;;;x
desc_epic_to_monarch;There is an epic written in tribute of an old king of ours, telling his life and legend.;Il existe une épopée écrite en hommage à un ancien roi de notre pays et qui raconte sa vie et sa légende.;Es gibt ein Epos, geschrieben als Tribut an einen alten König, das von seinem Leben uns seiner Legende erzählt.;;Hay una epopeya escrita en honor a un antiguo rey nuestro, que cuenta su vida y milagros.;;;;;;;;;x
enlightenment_movement;Liberté, Egalité, Fraternité;Liberté, Égalité, Fraternité;Liberté, Egalité, Fraternité;;Liberté, Égalité, Fraternité;;;;;;;;;x
desc_enlightenment_movement;Like a mighty torch, bringing the light of reason into even the darkest corners of the old and new worlds, the Enlightenment is sweeping across the world. With science, reason, and an unfaltering belief in mankind's potential as its weapon, it promises to wither the old crowns and crosses, and set man free. Being the enlightened ruler that he is, $MONARCH$, of course, supports this.;À l’instar d’un puissant flambeau apportant l’éclairage de la raison dans les recoins les plus sombres de l’ancien et du nouveau mondes, les Lumières se propagent partout. Grâce à la science, à la raison et à une foi sans faille dans le potentiel de l’humanité comme arme, elles promettent de chasser les anciennes couronnes et autres croix afin de libérer l’Homme. En tant que souverain éclairé, $MONARCH$ soutient évidemment ce mouvement.;Wie eine mächtige Fakel, die das Licht der Erleuchtung in die dunkelsten Ecken  der alten und neuen Welt bringt, verbreitet sich die Aufklärung über die Welt. Wissenschaft und der Glaube an das Potenzial der Menschen sind ihre Waffen, und sie verspricht, die alten Kronen und Kreuze zu Fall zu bringen, für die Freiheit des Menschen. Der aufgeklärte Herrscher $MONARCH$ unterstützt dies natürlich.;;Como una enorme antorcha, trayendo la luz de la razón incluso a los rincones más sombríos del viejo y nuevo mundo, la Ilustración atraviesa el mundo. Con la ciencia, la razón y una firme creencia en el potencial de la humanidad como sus armas, promete aplastar las viejas cruces y coronas, y liberar al hombre. Como el soberano ilustrado que es, $MONARCH$, por supuesto, la apoya.;;;;;;;;;x
support_enlightenment_movement_title;Liberté, Egalité, Fraternité;Liberté, Égalité, Fraternité;Liberté, Egalité, Fraternité;;Liberté, Égalité, Fraternité;;;;;;;;;x
support_enlightenment_movement_desc;Like a mighty torch, bringing the light of reason into even the darkest corners of the old and new worlds, the Enlightenment is sweeping across the world. Supporting this movement will doubtlessly lead to advances in science and philosophy, but the movements notions about human freedom, and the unalienable rights of man, may cause a bit of a rebellious fervor in our country.;À l’instar d’un puissant flambeau apportant l’éclairage de la raison dans les recoins les plus sombres de l’ancien et du nouveau mondes, les Lumières se propagent partout. Soutenir ce mouvement mènera incontestablement à des avancées dans les domaines de la science et de la philosophie, mais les notions de liberté humaine et de droits inaliénables de l’Homme peuvent faire souffler un vent de rébellion sur notre pays.;Wie eine mächtige Fakel, die das Licht der Erleuchtung in die dunkelsten Ecken  der alten und neuen Welt bringt, verbreitet sich die Aufklärung über die Welt. Wenn wir diese Bewegung unterstützen, werden wir uns in Wissenschaft und Philosophie weiterentwickeln, aber Dinge wie menschliche Freiheit und die unbedingten Menschenrechte könnten eine kleine rebellische Ader in unserem Land öffnen.;;Como una enorme antorcha, trayendo la luz de la razón incluso a los rincones más sombríos del viejo y nuevo mundo, la Ilustración atraviesa el mundo. Apoyar a este movimiento sin duda llevará a avances en ciencia y filosofía, pero el cambio en las ideas sobre la libertad del hombre y sus derechos inalienables pueden provocar algo de fervor rebelde en nuestro país.;;;;;;;;;x
introduce_heir_title;Introduce Heir;Présentation de l’héritier;Stellt Thronfolger vor;;Presenta heredero;;;;;;;;;x
introduce_heir_desc;$HEIR$ has come of age. Let us arrange a formal introduction to the court, where we can officially recognize $HEIR$ as the heir-apperent to the $COUNTRY_ADJ$ throne;$HEIR$ a atteint sa majorité. Permettez-nous d’organiser une présentation officielle à la cour, où nous pourrons reconnaître $HEIR$ comme l’héritier présomptif au trône $COUNTRY_ADJ$.;$HEIR$ ist aufgewachsen, es ist an der Zeit, eine formale Vorstellung vor dem Hof zu arrangieren, wo wir $HEIR$ offiziell als Nachfolger auf den $COUNTRY_ADJ$ Thron vorstellen.;;$HEIR$ es mayor de edad. Preparemos una presentación formal a la corte, en la que podamos reconocer oficialmente a $HEIR$ como el primer heredero al trono $COUNTRY_ADJ$.;;;;;;;;;x
heir_introduced;Heir Introduced;Héritier présenté;Nachfolger vorgestellt;;Heredero presentado;;;;;;;;;x
desc_heir_introduced;We have introduced one of our potential heirs to the court, preparing both him and the world for his eventual ascension to the throne.;Nous avons présenté un de nos héritiers potentiels à la cour afin de préparer le monde à son éventuelle accession au trône.;Wir haben einen unserer möglichen Nachfolger dem Hof vorgestellt um sowohl ihn als auch die Welt auf seine zukünftige Übernahme des Throns vorzubereiten.;;Hemos presentado a uno de nuestros potenciales herederos a la corte, preparándo a esta y al mundo para su posible subida al trono.;;;;;;;;;x
commedia_dellarte;Commedia dell'Arte;Commedia dell'Arte;Commedia dell'Arte;;Commedia dell'Arte;;;;;;;;;x
desc_commedia_dellarte;Originally developed in Italy and France, the 'Commedia dell'Arte' was a popular form of theater in Europe in the period between the 16th and 18th centuries. While its origins can be traced back to Greek and Roman theatrical conventions, the Commedia dell'arte was nevertheless an original innovation, perhaps best remembered for its stock characters such as 'Harlequin' and 'Pantalone'.;La "Commedia dell'Arte" est une forme de théâtre populaire qui connut son heure de gloire en Italie et en France entre le XVIe et le XVIIIe siècles. Bien que ses origines remontent aux conventions théâtrales grecques et romaines, la Commedia dell'arte fut néanmoins une innovation originale dont les personnages comme "Arlequin" et "Pantalon" ont fait la renommée.;Die 'Commedia dell'Arte' , entstanden in Italien und Frankreich, war eine populäre Theaterform im Europa des 16. bis 18. Jahrhundert. Während seine Wurzeln bis zu den Theaterkonventionen der Römer und Griechen zurückverfolgt werden können, war die Commedia dell'arte dennoch eine Innovation, vor allem wegen ihrer Charactere wie 'Harlequin' und 'Pantalone'.;;Nacida originalmente en Italia y Francia, la 'Commedia dell'Arte' fue una forma de teatro popular en Europa entre los siglos XVI y XVIII. Aunque sus orígenes se remontan al teatro griego y romano, la Commedia dell'arte fue sin embargo una innovación, tal vez más recordada por sus personajes arquetípicos como 'Arlequín' y 'Pantalón'.;;;;;;;;;x
support_commedia_dellarte_title;Commedia dell'Arte Performances;Spectacles de Commedia dell'Arte;Commedia dell'Arte ' Aufführungen;;Actuaciones de la Commedia dell'Arte;;;;;;;;;x
support_commedia_dellarte_desc;Hear ye, hear ye! Let loose Pantalone, Harlequin, and all the other stock characters of the traditional Commedia dell'Arte on your unsuspecting population, and watch as they are entertained by the antics and the shenanigans. A good piece of comedy can make anyone forget for a while that their everyday lives are wasted away laboring under the yokes of tyrannical rulers. Plus, it's fun!;Oyez, oyez ! Offrons Pantalon, Arlequin et tous les autres personnages de la Commedia dell'Arte en pâture à votre population et voyons si elle se laisse divertir par leurs bouffonneries et autres manigances. Une bonne comédie peut momentanément faire oublier les rudesses de la vie quotidienne et la tyrannie des souverains. Et en plus, c’est amusant !;Hört, hört! Lasst los Pantalone, Harlequin, und all die anderen Charactere des traditionellen Commedia dell'Arte auf die Bevölkerung und seht, wie sie von ihren Ausbrüchen unterhalten werden. Eine gute Komödie kann jeden für eine Zeitlang  vergessen machen, wie ihr tägliches Leben unter der tyrannischen Herrschaft verloren gehen. Außerdem macht es Spass!;;¡Escuchad, escuchad! Soltemos a Pantalón, Arlequín y otros personajes arquetípicos de la Commedia dell'Arte tradicional entre la confiada población, y veamos cómo se entretienen con sus bufonadas y travesuras. Una buena comedia puede hacer que todos olviden por un rato que sus vidas cotidianas se consumen trabajando bajo el yugo de tiránicos soberanos. ¡Además, es divertido!;;;;;;;;;x
military_modernization_muslim_title;Military Modernization;Modernisation de l’armée;Militärmodernisierung;;Modernización militar;;;;;;;;;x
military_modernization_muslim_desc;We have managed to bring our cultural life up to par with our powerful neighbors. We wear their clothes, we practice their customs, and some of us even speak their languages. The real challenge, the military, remains, however.;Nous sommes parvenus à hisser notre vie culturelle au niveau de celle de nos puissants voisins. Nous portons leurs vêtements, nous pratiquons leurs coutumes et certains d’entre nous parlent même leurs langues. Mais le principal défi reste à relever : la modernisation notre l’armée.;Wir haben es geschafft, unser kulturelles Leben auf das Level unserer mächtigen Nachbarn zu heben. Wir tragen ihre Kleider, beachten ihre Umgangsformen, einige von uns sprechen sogar ihre Sprache. Die wirkliche Herausforderung, das Militär, bleibt jedoch.;;Hemos logrado elevar nuestra vida cultural al nivel de nuestros poderosos vecinos. Vestimos sus ropas, practicamos sus costumbres, y algunos de nosotros incluso hablan sus idiomas. El auténtico reto, el militar, sigue ahí no obstante.;;;;;;;;;x
military_modernization_eastern_title;Military Modernization;Modernisation de l’armée;Militärmodernisierung;;Modernización militar;;;;;;;;;x
military_modernization_eastern_desc;We have managed to bring our cultural life up to par with our powerful neighbors. We wear their clothes, we practice their customs, and some of us even speak their languages. The real challenge, the military, remains, however.;Nous sommes parvenus à hisser notre vie culturelle au niveau de celle de nos puissants voisins. Nous portons leurs vêtements, nous pratiquons leurs coutumes et certains d’entre nous parlent même leurs langues. Mais le principal défi reste à relever : la modernisation notre armée.;Wir haben es geschafft, unser kulturelles Leben auf das Level unserer mächtigen Nachbarn zu heben. Wir tragen ihre Kleider, beachten ihre Umgangsformen, einige von uns sprechen sogar ihre Sprache. Die wirkliche Herausforderung, das Militär, bleibt jedoch.;;Hemos logrado elevar nuestra vida cultural al nivel de nuestros poderosos vecinos. Vestimos sus ropas, practicamos sus costumbres, y algunos de nosotros incluso hablan sus idiomas. El auténtico reto, el militar, sigue ahí no obstante.;;;;;;;;;x
military_modernization_western_title;Military Modernization;Modernisation de l’armée;Militärmodernisierung;;Modernización militar;;;;;;;;;x
military_modernization_western_desc;We have managed to bring our cultural life up to par with our powerful neighbors. We wear their clothes, we practice their customs, and some of us even speak their languages. The real challenge, the military, remains, however.;Nous sommes parvenus à hisser notre vie culturelle au niveau de celle de nos puissants voisins. Nous portons leurs vêtements, nous pratiquons leurs coutumes et certains d’entre nous parlent même leurs langues. Mais le principal défi reste à relever : la modernisation notre armée.;Wir haben es geschafft, unser kulturelles Leben auf das Level unserer mächtigen Nachbarn zu heben. Wir tragen ihre Kleider, beachten ihre Umgangsformen, einige von uns sprechen sogar ihre Sprache. Die wirkliche Herausforderung, das Militär, bleibt jedoch.;;Hemos logrado elevar nuestra vida cultural al nivel de nuestros poderosos vecinos. Vestimos sus ropas, practicamos sus costumbres, y algunos de nosotros incluso hablan sus idiomas. El auténtico reto, el militar, sigue ahí no obstante.;;;;;;;;;x
action_and_reaction;Action and Reaction;Action et réaction;Aktion und Reaktion;;Acción y reacción;;;;;;;;;x
desc_action_and_reaction;For each action there is an equal and opposite reaction. We have drastically reformed one of the country's most fundamental institutions, and powerful interests within our realm now conspire to undo these changes. Hold the line and ride the storm through.;Toute action entraîne une réaction égale et opposée. Après avoir radicalement réformé une des institutions fondamentales du pays, de puissants intérêts conspirent désormais au sein de notre royaume pour revenir en arrière. Gardez le cap et traversez la tempête.;Für jede Aktion gibt es eine gleiche und entgegengerichtete Reaktion. Wir haben eine der grundsätzlichen Institutionen des Landes drastisch neugestaltet, und Mächte innerhalb unserer Nation verschwören sich nun, um diese Änderungen ungeschehen zu machen. Haltet dagegen und steht zu eurer Entscheidung.;;Por cada acción existe una reacción igual y opuesta. Hemos reformado drásticamente una de las instituciones fundamentales del país, y poderosos intereses dentro de nuestro reino conspiran ahora para deshacer esos cambios. Mantente firme y capea el temporal.;;;;;;;;;x
national_focus_foreign;Foreign National Focus;Cause nationale étrangère;Fremder nationaler Schwerpunkt;;Foco nacional extranjero;;;;;;;;;x
particularist_rebels_title;Particularist;Particulariste;Partikularisten;;Particularista;;;;;;;;;x
particularist_rebels_name;$COUNTRY$ Particularists;Particularistes de $COUNTRY$;$COUNTRY$ Partikularisten;;Particularistas $COUNTRY$;;;;;;;;;x
particularist_rebels_desc;Particularists are violently opposed to any attempts at centralization by the government. They demand autonomy, though not actual independence.;Les particularistes sont violemment opposés à toute tentative de centralisation par le gouvernement. Ils réclament l’autonomie, mais pas l’indépendance réelle.;Partikularisten lehnen jede Form der Zentralisierung die die Regierung gewaltsam ab. Sie fordern Autonomie, jedoch keine Unabhängigkeit.;;Los particularistas se oponen con violencia a todo intento de centralización por parte del gobierno. Exigen autonomía, aunque no independencia real.;;;;;;;;;x
particularist_rebels_army;Particularist Army;Armée particulariste;Partikularistische Armee;;Ejército particularista;;;;;;;;;x
rome_reborn;Rome Reborn;Renaissance de Rome;Wiedergeburt Roms;;Roma renacida;;;;;;;;;x
desc_rome_reborn;Like a Phoenix from the ashes, The Roman Empire thrones above the world. For the first time since Charlemagne, there is an undisputed and absolute Emperor of The Holy Roman Empire. The thousand flags of Germany divided have all stopped waving before the one, singular, flag of Rome reborn. Ave Caesar!;Tel le phénix qui renaît de ses cendres, l’Empire romain domine le monde. Pour la première fois depuis Charlemagne, nous avons un empereur romain germanique incontesté et absolu. Les mille drapeaux de l’Allemagne divisée ont tous été remplacés par celui de la nouvelle Rome. Ave César !;Wie der Phönix aus der Asche erhob sich das Römische Reich, um die Welt zu beherrschen. Zum ersten Mal seit Charlemagne gibt es einen klaren und absoluten Kaiser des heiligen römischen Reiches. Die tausend Flaggen des geteilten Deutschlands haben aufgehört zu bestehen, an ihre Stelle tritt die eine Flagge des wiedergeborenen Rom. Ave Caesar!;;Como el fénix de las cenizas, el Imperio Romano se alza sobre el mundo. Por primera vez desde Carlomagno, hay un Emperador del Sacro Imperio Romano absoluto e indisputado. Las mil banderas de Alemania dividida ya no ondean ante la única y singular bandera de Roma renacida. ¡Ave, César!;;;;;;;;;x
build_lubeck_krantor_title;The Lübeck Krantor;Le Krantor de Lübeck;Der Lübecker Krantor;;El Krantor de Lübeck;;;;;;;;;x
build_lubeck_krantor_desc;With the wealth pouring into our port at Lübeck, the port facilities are starting to look underdimensioned. While it would cost us nearly a whole year's income, a Krantor, a massive harbor crane, could massively improve our trading potentials.;Les installations portuaires de Lübeck deviennent insuffisantes pour décharger toutes les richesses qui y arrivent. Cela nous coûterait près d’une année de revenus, mais un Krantor (immense grue portuaire) améliorerait considérablement notre potentiel commercial.;Unser Hafen in Lübeck floriert und Reichtümer fließen in unsere Taschen, aber die Hafeneinrichtungen beginnen, unterdimensioniert zu wirken. Während uns ein Krantor, ein rießiger Hafenkran, fast ein ganzes Jahreseinkommen kosten würde, könnte er unser Handelspotenzial stark erhöhen.;;Con la riqueza lloviendo sobre nuestro puerto en Lübeck, las instalaciones portuarias comienzan a quedarse pequeñas. Aunque nos costaría casi un año entero de ingresos, un Krantor, una enorme grúa portuaria, podría mejorar enormemente nuestro potencial de comercio.;;;;;;;;;x
krantor_crane;The Lübeck Krantor;Le Krantor de Lübeck;Der Lübecker Krantor;;El Krantor de Lübeck;;;;;;;;;x
desc_krantor_crane;We have erected a massive harbor crane here in Lübeck, which helps us load and unload ships.;Une immense grue portuaire a été érigée à Lübeck afin de charger et décharger les navires.;Wir haben in Lübeck einen rießigen Hafenkran errichtet, der beim Be- und Entladen von Schiffen hilft.;;Hemos construido una enorme grúa portuaria aquí en Lübeck, que nos ayuda a cargar y descargar barcos.;;;;;;;;;x
commission_adler_von_lubeck_title;The 'Adler von Lübeck';Le "Adler von Lübeck";Der 'Adler von Lübeck';;El 'Adler von Lübeck';;;;;;;;;x
commission_adler_von_lubeck_desc;On account of the ongoing war in the region, our shipwrights have presented plans for a new warship: The 'Adler von Lübeck'. The ship is massive, with more gunports than any other ship afloat in the western world. Building it would be expensive, but our navy would be unrivaled in the Baltic for quite some time.;En ces temps de guerre, nos architectes navals ont présenté les plans d’un nouveau navire de guerre : le "Adler von Lübeck". Cet immense vaisseau comprend davantage de sabords que tout autre navire du monde occidental. Sa construction serait très coûteuse, mais permettrait à notre marine de dominer la Baltique.;Wegen des fortgesetzten Krieges in unserer Region haben unserer Schiffsbauer Pläne für ein neues Kriegsschiff vorgelegt: Den 'Adler von Lübeck'. Das Schiff ist rießig, mit mehr Kanonen als jedes andere Schiff in der westlichen Welt. Der Bau wäre teuer, aber unsere Flotte wäre damit für einige Zeit unerreicht im Baltikum.;;Debido a la guerra en curso en la región, nuestros constructores de barcos han presentado los planos de un nuevo buque de guerra: el 'Adler von Lübeck'. Es un barco enorme, con más troneras que cualquier otro barco a flote en el mundo occidental. Construirlo resultaría caro, pero nuestra armada no tendría rival en el Báltico durante mucho tiempo.;;;;;;;;;x
adler_von_lubeck;The 'Adler von Lübeck';Le "Adler von Lübeck";Der 'Adler von Lübeck';;El 'Adler von Lübeck';;;;;;;;;x
desc_adler_von_lubeck;The 'Adler von Lübeck' floats on the briny foam, and our naval prowess is unmatched from The Kattegatt to The Gulf of Bothnia.;Le "Adler von Lübeck" vogue, témoignant de notre talent naval sans égal du Cattégat jusqu’au golfe de Botnie.;Der 'Adler von Lübeck' fliegt auf den Meeren, und unsere Flottenmacht ist unerreicht vom Kattegatt zum Golf von Bothnia.;;El 'Adler von Lübeck' surca las olas, y nuestra destreza naval no tiene igual del Kattegatt al golfo de Botnia.;;;;;;;;;x
CORE_FRACTION_IS_LESS_THAN;Core Province fraction is less than ;La fraction de provinces légitimes est inférieure à ;Kernprovinzfraktion weniger als;;Fracción de provincia núcleo menor de;;;;;;;;;x
CORE_FRACTION_IS_AT_LEAST;Core Province fraction is at least ;La fraction de provinces légitimes est d’au moins ;Kernprovinzfraktion zumindest;;Fracción de provincia núcleo de al menos;;;;;;;;;x
overextension;Overextension;Essor rapide;Überdehnung;;Demasiada extensión;;;;;;;;;x
desc_overextension;Our glorious nation has grown so quickly that our administration is having trouble keeping it all under control. We must slow down and consolidate our hold on all this new territory, decentralize, or even release some countries as vassals.;Notre glorieuse nation a connu un essor si rapide que notre administration a du mal à la contrôler. Nous devons ralentir la cadence pour consolider notre emprise sur l’ensemble de ce nouveau territoire, décentraliser ou même libérer certains pays de leur statut de vassal.;Unsere glorreiche Nation ist so schnell gewachsen, dass unserer Administration Schwierigkeiten hat, alles unter Kontrolle zu halten. Wir müssen unsere Kontrolle über all das neue Territorium konsolidieren, dezentralisieren oder sogar einige Nationen als Vassallen entlassen.;;Nuestra gloriosa nación ha crecido tan rápido que nuestra administración está encontrando problemas para mantenerla a toda bajo control. Debemos ir más despacio y consolidar nuestro control sobre todo ese nuevo territorio, descentralizar o incluso liberar a algunos países como vasallos.;;;;;;;;;x
gain_polish_grain_trade_title;Polish Grain Trade;Commerce des céréales polonaises;Polnischer Getreidehandel;;Comercio de grano polaco.;;;;;;;;;x
gain_polish_grain_trade_desc;Kiss the grain, whenever it's gone too long! This particular good has always been a staple of our Lübeck exports. We should secure a national monopoly for ourselves.;Les céréales ont toujours été la base des exportations de Lübeck. Nous devons en conserver le monopole national.;Küss das Getreide, wann immer es zu lange weg war! Diese spezielle Ware war immer eine Stärke unserer Lübecker Exporte. Wir sollten uns ein nationales Monopol daran sichern.;;¡Bendito el grano, que tanto crece! Este producto siempre ha sido uno de los principales que exportamos de Lübeck. Deberíamos asegurarnos un monopolio nacional.;;;;;;;;;x
polish_grain_trade;Polish Grain Trade;Commerce des céréales polonaises;Polnischer Getreidehandel;;Comercio de grano polaco.;;;;;;;;;x
desc_polish_grain_trade;Polish grain flows through our port in Lübeck.;Les céréales polonaises transitent par notre port de Lübeck.;Polnisches Getreide fließt durch unseren Hafen in Lübeck;;El grano polaco circula a través de nuestro puerto en Lübeck.;;;;;;;;;x
EVTNAME9491;Polish Grain Trade Disappears;Disparition du commerce des céréales polonaises;Polnischer Getreidehandel verschwindet.;;El comercio de grano polaco desaparece;;;;;;;;;x
EVTDESC9491;For some reason the Polish grain isn't coming in through Lübeck the way it used to.;Les céréales polonaises ne transitent plus par Lübeck comme elles le faisaient jadis.;Aus irgendwelchen Gründen kommt der polische Getreidehandel nicht wie sonst durch Lübeck.;;Por alguna razón, el grano polaco no está llegando a Lübeck como solía hacerlo.;;;;;;;;;x
EVTOPTA9491;Blast!;Mince !;Verdammt!;;¡Maldición!;;;;;;;;;x
support_south_german_organ_tradition_title;The South German Organ Tradition;La tradition sud-germanique de l’orgue;Süddeutsche Orgeltradition;;Escuela alemana de órgano del sur;;;;;;;;;x
support_south_german_organ_tradition_desc;The South German organ tradition was a school of German organ composers, whose work was largely inspired by earlier Italian traditions, learned by the Germans from studies under Italian masters. Known for improvisatory preludes, chaconnes and passacaglias, the music of the South German Organists is something we could consider supporting.;La tradition sud-germanique de l’orgue est représentée par une école de compositeurs de musique d’orgue allemands dont l’œuvre s’inspire largement de traditions italiennes plus anciennes enseignées par les maîtres italiens. Connue pour ses chaconnes, passacailles et préludes improvisés, la musique des organistes d’Allemagne méridionale mériterait que nous la soutenions.;Die süddeutsche Orgeltradtion war eine Schule von deutschen Orgelkomponisten, deren Werke meist von früheren italienischen Traditionen beeinflusst waren und die von den deutschen durch Studium unter italienischen Meistern erlernt wurde. Bekannt für improvisierte Einstiege, Chaconnes und Passacaglias ist die Musik der süddeutschen Organisten etwas, das wir unterstützen könnten.;;La escuela alemana de órgano del sur estaba compuesta de compositores de órgano alemanes, cuya obra fue inspirada en gran medida por la tradición italiana anterior, aprendida por los alemanes al estudiar con los maestros italianos. Conocida por sus preludios improvisados, chaconas y pasacalles, la música de los organistas alemanes del sur es algo que podríamos apoyar.;;;;;;;;;x
south_german_organ_tradition;The South German Organ Tradition;La tradition sud-germanique de l’orgue;Süddeutsche Orgeltradition;;La escuela alemana de órgano del sur  ;;;;;;;;;x
desc_south_german_organ_tradition;From Pachelbel to Johann Kaspar Kerll, the music of South German organs can be heard all across $COUNTRY$;De Pachelbel à Johann Kaspar Kerll, la musique d’orgue sud-germanique résonne dans tout $COUNTRY$.;Von Pachelbel bis Johann Kaspar Kerll erklingt die Musik der süddeutschen Orgeln überall in $COUNTRY$;;Desde Pachelbel a Johan Kaspar Kerll, la música de los órganos alemanes del sur puede oírse por todo el $COUNTRY$.;;;;;;;;;x
hold_organ_concert_title;Arrange Organ Concert;Organisation d’un concert d’orgue;Arangiert Orgelkonzerte;;Organiza un concierto de órgano;;;;;;;;;x
hold_organ_concert_desc;Send one of our magistrates to arrange an organ concert in the South German school. After all, they say that music can calm even the wildest beast.;Dépêchez un de nos magistrats pour organiser un concert d’orgue à l’école sud-germanique. Après tout, on dit que la musique adoucit les mœurs !;Sendet einen eurer Magistrate, um ein Orgelkonzert der süddeutschen Schule zu arrangieren. Nicht ohne Grund sagt man, dass Musik das wildeste Biest zähmen kann.;;Envía a uno de tus magistrados a que organice un concierto de órgano en la escuela alemana del sur. Al fin y al cabo, dicen que la música amansa a las fieras.;;;;;;;;;x
organ_concert;Organ Concert Held;Concert d’orgue organisé;Orgelkonzert;;Concierto de órgano celebrado;;;;;;;;;x
desc_organ_concert;We've arranged a magnificent Organ Concert here that people will remember for years to come!;Nous avons organisé un magnifique concert d’orgue dont les gens d’ici se souviendront pendant des années !;Wir haben ein großartigel Orgelkonzert organisiert, von dem die Leute noch Jahre sprechen werden.;;¡Hemos organizado aquí un concierto de órgano magnífico que la gente recordará en años venideros!;;;;;;;;;x
HAVE_TRADE_LEAGUE_WITH;In Trade League with ;Est membre d’une ligue commerciale avec ;In Handelsliga mit;;En liga comercial con;;;;;;;;;x
HAVE_NOT_TRADE_LEAGUE_WITH;NOT in Trade League with ;N’est PAS membre d’une ligue commerciale avec ;NICHT in Handelsliga mit;;NO en liga comercial con;;;;;;;;;
LEAGUE_MEMBERS_FEWER_THAN;League Members fewer than ;Membres de la ligue inférieurs à ;Weniger Ligamitglieder als;;Menos miembros de la liga de;;;;;;;;;
LEAGUE_MEMBERS_AT_LEAST;League Members at least ;Membres de la ligue d’au moins ;Ligamitglieder mindestens;;Miembros de la liga al menos;;;;;;;;;
HAVE_A_NAVY_SMALLER_THAN;Total navy size less than §Y$PERC$§W% of the Force Limit;Taille totale de la marine : inférieure à §Y$PERC$§W% de la limite d’effectifs;Flottengröße geringer als §Y$PERC$§W% des Schiffslimit;;Tamaño total de armada menor de §Y$PERC$§W% del límite del ejército;;;;;;;;;
HAVE_A_NAVY_LARGER_THAN;Total navy size at least §Y$PERC$§W% of the Force Limit;Taille totale de la marine : au moins §Y$PERC$§W% de la limite d’effectifs;Flottenstärke zumindest §Y$PERC$§W% des Schiffslimit;;Tamaño total de armada de al menos §Y$PERC$§W% del límite del ejército;;;;;;;;;
HAVE_A_ARMY_SMALLER_THAN;Total army size less than §Y$PERC$§W% of the Force Limit;Taille totale de l’armée : inférieure à §Y$PERC$§W% de la limite d’effectifs;Armeegröße weniger als §Y$PERC$§W% des Truppenlimit;;Tamaño total de armada menor de §Y$PERC$§W% del límite del ejército;;;;;;;;;
HAVE_A_ARMY_LARGER_THAN;Total army size at least §Y$PERC$§W% of the Force Limit;Taille totale de l’armée : au moins §Y$PERC$§W% de la limite d’effectifs;Armeegröße zumindest §Y$PERC$§W% des Truppenlimit;;Tamaño total de armada de al menos §Y$PERC$§W% del límite del ejército;;;;;;;;;
EMBARGOSUBJECT;You are a subject nation and cannot issue embargos.;En tant que sujet, vous ne pouvez pas imposer d’embargo.;Ihr seit Juniorpartner und könnt keine Embargos verhängen.;;Eres una nación sometida y no puedes emitir embargos.;;;;;;;;;
EVTNAME9492;Our Monarch Dies;Notre monarque est mort;Unser Monarch stirbt;;Nuestro monarca ha muerto;;;;;;;;;
